time (s),X (pixels),Y (pixels),R (pixels),Theta (°)
0.0450563999911537,-23,323,323.817850033009,94.0730104480522
0.112257299988414,-23,324,324.815332150439,94.0604815416167
0.145552799993311,-23,324,324.815332150439,94.0604815416167
0.178933199989842,-23,324,324.815332150439,94.0604815416167
0.21230439998908,-23,324,324.815332150439,94.0604815416167
0.245720199993229,-23,324,324.815332150439,94.0604815416167
0.27899969999271,-23,325,325.812829704418,94.0480293507422
0.328940299994429,-25,327,327.954265104145,94.3719065826219
0.395676399988588,-25,327,327.954265104145,94.3719065826219
0.444177599987597,-25,332,332.93993452273,94.3063141757826
0.477654999995138,-28,340,341.150992963526,94.7078522443722
0.512749299989082,-38,354,356.033706269505,96.1269330054941
0.546016499996767,-43,361,363.551922013899,96.7927006445066
0.579231700001401,-45,363,365.778621573213,97.0667297164011
0.612723599988385,-45,363,365.778621573213,97.0667297164011
0.645983900001738,-45,363,365.778621573213,97.0667297164011
0.679175500001293,-45,363,365.778621573213,97.0667297164011
0.712698399991496,-45,363,365.778621573213,97.0667297164011
0.744622199999867,-51,359,362.604467705515,98.0854098675003
0.777413599993451,-61,352,357.246413557925,99.8314569594821
0.810769099989557,-91,344,355.83282591689,104.817323633316
0.84414809998998,-127,338,361.072014977622,110.59318996609
0.87781449999602,-149,333,364.815021620547,114.106007186973
0.912428299998282,-168,331,371.194019348373,116.910202300242
0.945980599994073,-185,330,378.318648760539,119.275254277253
0.979412899992894,-238,335,410.936734790162,125.39180483541
1.01275629999873,-260,335,424.057779082049,127.815732607573
1.04512569999497,-306,337,455.197759221198,132.239821252088
1.0798031000013,-325,339,469.623253257332,133.792135419947
1.12883309999597,-400,350,531.507290636732,138.81407483429
1.16220759999123,-441,360,569.281125631265,140.774325902663
1.1953860999929,-467,368,594.569592226175,141.761587306688
1.22875949999434,-488,378,617.274655238655,142.238989047848
1.26228289998835,-524,393,655,143.130102354156
1.29527659999439,-546,406,680.405761292481,143.365886124033
1.32925189999514,-577,419,713.084847686445,144.013978340534
1.36332109999785,-619,426,751.423316114159,145.463987606861
1.3965765999892,-621,427,753.637844060395,145.487561494022
1.42991669999901,-621,427,753.637844060395,145.487561494022
1.46296839999559,-621,427,753.637844060395,145.487561494022
1.49494009999034,-572,422,710.822059308798,143.581494766945
1.53070699999807,-506,397,643.152392516735,141.882801895867
1.56368300000031,-472,372,600.972545129975,141.757097544506
1.59665719998884,-414,320,523.255195865268,142.297882742116
1.62996629999543,-385,283,477.822142643055,143.681698091384
1.66337149999163,-355,216,415.549034411103,148.68154857985
1.69698789999529,-315,130,340.771184227775,157.574138078648
1.73029749999114,-247,59,253.948813740092,166.565695774636
1.76342519999889,-177,-2,177.011299074381,-179.352617613058
1.79581899999175,-108,-46,117.388244726633,-156.929587750175
1.83003299999109,-54,-98,111.892805845595,-118.855661219717
1.86341299999913,-14,-141,141.693330824002,-95.6703573438939
1.89784589999181,6.00000000000003,-155,155.11608556175,-87.7832056592598
1.92926129999978,10,-161,161.310260058063,-86.4458217644679
1.96243169999798,18,-162,162.996932486473,-83.6598082540901
1.99559639999643,23,-148,149.776500159404,-81.166585348781
2.02915299999586,28,-131,133.958948935859,-77.9351155894746
2.06200559998979,5.00000000000002,-73,73.1710325197069,-86.0817511359326
2.09518099999696,4.00000000000002,-67,67.1192967781993,-86.5834118082286
2.12998159999552,6.00000000000002,-51,51.3517283058711,-83.2901631922431
2.1638254999998,8.00000000000002,-44,44.7213595499958,-79.6951535312339
2.1974773999973,9.00000000000002,-39,40.024992192379,-77.0053832080835
2.23061139999481,9.00000000000002,-39,40.024992192379,-77.0053832080835
2.26378979999572,5.00000000000002,-23,23.5372045918796,-77.7352262721076
2.29699989999062,-5.99999999999998,-7,9.21954445729287,-130.601294645004
2.34763099999691,-11,8.88178419700125e-16,11,180
2.39614519999304,-11,8.88178419700125e-16,11,180
2.43066589999944,-11,8.88178419700125e-16,11,180
2.48084839999501,-11,8.88178419700125e-16,11,180
2.51421249999839,-11,8.88178419700125e-16,11,180
2.54755759998807,-11,8.88178419700125e-16,11,180
2.58096659999865,-11,8.88178419700125e-16,11,180
2.61452639999334,-11,8.88178419700125e-16,11,180
2.64747289998922,-11,8.88178419700125e-16,11,180
2.68102759998874,-11,8.88178419700125e-16,11,180
2.71417769999243,-11,5,12.0830459735945,155.556045219583
2.7475781999965,33,62,70.2353187506115,61.9754994679297
2.79784149999614,60,92,109.836241741968,56.888658039628
